word,fields,sum,brillouin
laptop,{},0,
manual,"{'6': 5, '7': 2, '13': 5, '4': 1}",13,0.41037598681771154
pda,"{'13': 1, '6': 1}",2,0.1505149978319906
provis,"{'4': 10, '6': 14, '12': 1, '13': 12, '7': 9, '3': 3, '28': 1, '10': 1}",51,0.6602396552212232
pump,"{'13': 32, '6': 17, '7': 7, '3': 4, '12': 5, '4': 4, '1': 4, '2': 4, '24': 1, '9': 1}",79,0.7047840597965894
script,"{'4': 4, '13': 5, '6': 10, '3': 1, '7': 4, '12': 1}",25,0.5516511566594978
simplifi,"{'6': 1, '4': 1}",2,0.1505149978319906
type,"{'7': 6, '6': 23, '25': 1, '12': 2, '13': 17, '4': 10, '3': 4, '28': 1, '2': 3, '8': 1, '10': 1}",69,0.7158442903621652
vital,"{'3': 21, '13': 87, '6': 33, '12': 20, '7': 10, '2': 14, '4': 23, '10': 16}",224,0.7596326225323737
day,"{'2': 1, '7': 4, '13': 7, '3': 2, '12': 1, '6': 1}",16,0.4960592387473883
easili,{},0,
handl,"{'4': 4, '13': 15, '6': 8, '7': 4, '2': 2, '12': 1, '32': 1, '25': 1, '33': 1}",37,0.6312233583658523
home,"{'4': 5, '13': 6, '6': 5, '25': 1, '7': 2, '3': 1, '12': 1}",21,0.5900770917819589
map,"{'7': 8, '6': 49, '10': 5, '13': 29, '3': 3, '4': 7, '5': 1, '2': 8, '12': 1, '25': 1}",112,0.6499465256985095
month,"{'13': 1, '7': 1}",2,0.1505149978319906
numb,"{'4': 12, '6': 12, '7': 5, '13': 11, '3': 6, '2': 2, '1': 1, '10': 1, '24': 1, '12': 2}",53,0.7383117147509132
resid,"{'6': 8, '7': 5, '2': 1, '13': 9, '4': 1}",24,0.481176702825048
schedul,"{'7': 32, '13': 25, '12': 3, '6': 29, '2': 1, '24': 1, '4': 24, '3': 8, '10': 1, '11': 1}",125,0.7083283373417234
screen,"{'7': 17, '13': 39, '4': 24, '6': 102, '2': 39, '9': 3, '3': 13, '33': 1, '10': 3, '31': 2, '28': 1, '12': 3, '1': 1, '5': 1}",249,0.7419116979291102
termin,"{'12': 15, '7': 53, '2': 29, '6': 115, '1': 9, '4': 80, '13': 151, '3': 40, '10': 8, '11': 1, '34': 1, '8': 1, '9': 1, '31': 1, '20': 1}",506,0.8048829273019414
visit,"{'7': 8, '6': 11, '2': 2, '12': 1, '4': 2, '3': 1, '13': 12}",37,0.5851260453054461
week,"{'13': 2, '7': 1}",3,0.1590404182398875
breast,"{'13': 13, '11': 1, '15': 1, '6': 12, '1': 1, '2': 1, '12': 1, '4': 1}",31,0.49807756413831833
carri,"{'4': 3, '13': 4, '7': 3, '32': 1, '8': 1, '3': 2, '12': 1, '6': 1}",16,0.6301922409772782
diagnos,"{'6': 22, '7': 9, '10': 2, '11': 3, '13': 26, '3': 1, '4': 7, '2': 1}",71,0.6187591964759066
repres,"{'6': 14, '7': 7, '2': 4, '13': 8, '3': 3, '10': 1, '4': 1}",38,0.6134683833093539
advers,"{'11': 2, '6': 8, '13': 7, '4': 1}",18,0.39985333137299606
benefit,"{'6': 6, '13': 6, '7': 4, '33': 1}",17,0.43859954591667394
categor,"{'6': 5, '7': 3, '13': 3, '4': 1, '12': 1, '2': 1}",14,0.5217803289466291
collect,"{'2': 4, '7': 12, '12': 3, '13': 53, '3': 7, '4': 11, '6': 39, '10': 1, '9': 1}",131,0.6400394610878777
dedic,"{'2': 2, '4': 2, '13': 5, '6': 4, '7': 1}",14,0.4913539909271804
dispens,"{'25': 8, '6': 53, '12': 23, '13': 56, '33': 3, '7': 27, '32': 2, '34': 1, '4': 11, '16': 1, '35': 1, '9': 1, '2': 1, '11': 1, '23': 1, '10': 1, '3': 1}",192,0.7725630037657055
dna,"{'16': 1, '11': 1, '15': 4, '13': 3, '6': 3}",12,0.47865193513364584
drug,"{'11': 3, '6': 62, '13': 93, '7': 38, '25': 2, '4': 3, '3': 1, '12': 5, '16': 5, '15': 2, '34': 2, '2': 1}",217,0.6149305367330834
ehr,"{'6': 61, '7': 35, '13': 65, '4': 21, '2': 1, '3': 3, '33': 1}",187,0.5884168654054509
establish,"{'6': 15, '13': 13, '3': 3, '4': 8, '7': 2}",41,0.5348523714116495
genet,"{'6': 30, '15': 7, '7': 11, '13': 25, '11': 5, '8': 1, '5': 1, '14': 1, '4': 4, '12': 1}",86,0.6745001959669441
human,"{'13': 45, '6': 26, '4': 9, '3': 6, '12': 10, '7': 9, '33': 2, '34': 1, '25': 1, '1': 1, '2': 1}",111,0.6912176409460408
linkag,"{'32': 1, '10': 1, '13': 7, '6': 7, '7': 2, '1': 1, '3': 1, '2': 1}",21,0.5715453734788858
paramet,"{'6': 64, '13': 76, '7': 11, '4': 23, '25': 2, '10': 4, '12': 13, '2': 12, '3': 6, '9': 1, '1': 1, '34': 1, '21': 1, '11': 1, '29': 1, '33': 1}",218,0.748945501706485
pharmacist,{'13': 1},1,0.0
phenotyp,"{'6': 14, '7': 1, '13': 10, '11': 2, '15': 2, '14': 1}",30,0.4773809566217749
reaction,"{'13': 7, '12': 1, '6': 6, '11': 1}",15,0.3704491052164404
risk,"{'11': 5, '6': 55, '7': 23, '13': 78, '10': 3, '4': 2, '12': 4, '2': 1, '35': 1}",172,0.559421785084475
sampl,"{'7': 17, '6': 52, '11': 10, '13': 60, '15': 6, '16': 2, '10': 10, '2': 5, '4': 9, '9': 1, '24': 1, '12': 1, '5': 2, '3': 2, '29': 1, '35': 1}",180,0.7800343713330002
singl,"{'6': 10, '13': 18, '3': 5, '2': 1, '33': 1, '4': 3, '10': 1, '12': 1, '7': 3}",43,0.6227804388581507
softwar,"{'6': 30, '2': 4, '12': 4, '4': 12, '13': 28, '7': 14}",92,0.6283238729659897
supervis,"{'2': 2, '12': 3, '13': 9, '6': 12, '7': 1}",27,0.471025983257697
therapeut,"{'7': 6, '13': 21, '6': 17, '14': 1, '15': 1, '9': 1, '12': 1, '4': 2, '16': 1}",51,0.5641739241118725
understand,"{'6': 1, '4': 1, '13': 1}",3,0.25938375012788123
util,"{'4': 2, '13': 2, '7': 1, '10': 1, '6': 2, '2': 1}",9,0.5174081162094278
address,"{'2': 4, '4': 30, '6': 33, '13': 15, '7': 13, '3': 7, '10': 1, '12': 2}",105,0.6797827390487309
build,"{'12': 2, '13': 8, '6': 8, '7': 5, '10': 1, '3': 2, '4': 2, '25': 2, '35': 2, '1': 1, '2': 1, '33': 1, '34': 1, '28': 1}",37,0.8200909351876251
destin,"{'2': 2, '4': 11, '6': 15, '13': 12, '7': 9, '3': 3, '10': 1}",53,0.6527167488611336
implement,"{'7': 4, '13': 5, '6': 12, '4': 2}",23,0.43355369482372075
internet,"{'3': 6, '6': 17, '7': 11, '10': 4, '11': 1, '13': 28, '12': 5, '2': 4, '4': 11}",87,0.7516018804866614
pool,"{'4': 1, '13': 2, '6': 1, '7': 1}",5,0.35563025007672866
realiz,"{'4': 1, '6': 4, '3': 1, '12': 1, '13': 3, '7': 1, '2': 1, '31': 1}",13,0.5873782941764794
requir,"{'6': 2, '13': 4, '4': 3, '10': 1, '7': 1}",11,0.46743302093416256
satisfi,"{'13': 4, '6': 7, '7': 2, '3': 4, '12': 2, '4': 4, '10': 1, '2': 2}",26,0.6869024914705234
sourc,"{'1': 4, '10': 6, '6': 40, '7': 7, '3': 4, '2': 13, '9': 4, '13': 35, '24': 1, '4': 7, '8': 2, '12': 3, '34': 1}",127,0.7895809728385331
transfer,"{'2': 6, '4': 15, '6': 24, '7': 11, '13': 20, '3': 7, '10': 3, '12': 1, '1': 1, '32': 2, '9': 2, '8': 2, '27': 1, '28': 1}",96,0.8318633412886244
achiev,"{'4': 2, '6': 1, '13': 2}",5,0.29542425094393243
brows,"{'13': 13, '6': 13, '7': 11, '4': 3, '9': 1, '2': 2}",43,0.5700523040463136
comment,"{'6': 8, '7': 6, '13': 4, '4': 3, '12': 1}",22,0.5195250491122662
cross,"{'13': 15, '6': 20, '4': 5, '7': 7, '3': 1}",48,0.5168681828669425
distort,"{'2': 6, '6': 7, '5': 1, '9': 2, '3': 3, '32': 1, '13': 3, '10': 1, '11': 1, '4': 1}",26,0.699558596057609
ecg,"{'13': 92, '6': 18, '7': 6, '4': 3, '3': 9, '2': 1, '12': 1}",130,0.4054949257424465
edit,"{'6': 32, '12': 3, '7': 12, '10': 1, '13': 15, '3': 3, '4': 4, '2': 4}",74,0.6349434750568286
experi,"{'10': 1, '7': 1, '13': 4, '6': 3, '12': 1}",10,0.4401400540781545
feedback,"{'13': 32, '7': 6, '6': 30, '4': 20, '2': 4, '1': 2, '3': 6, '10': 1, '12': 4, '25': 1, '34': 1, '16': 1}",108,0.7325557828790565
file,"{'13': 76, '6': 115, '7': 37, '4': 32, '2': 7, '10': 2, '12': 2, '3': 14, '27': 1, '1': 1}",287,0.6580222036331819
intuit,"{'12': 1, '4': 1, '13': 1, '6': 2, '33': 1, '7': 1}",7,0.48591436296879204
lead,"{'13': 20, '4': 2, '34': 2, '6': 4, '7': 3, '10': 1, '28': 1, '8': 1, '3': 2, '11': 1, '12': 1, '1': 1}",39,0.6374873841246923
log,"{'4': 7, '13': 17, '6': 22, '7': 12, '3': 4, '12': 4}",66,0.6362249863330087
navig,"{'4': 5, '13': 14, '6': 10, '3': 3, '7': 7, '2': 2, '12': 1, '10': 1}",43,0.6609344711015768
note,"{'6': 30, '7': 12, '13': 15, '4': 1, '10': 1}",59,0.4562970669300811
page,"{'6': 44, '13': 17, '7': 15, '3': 4, '4': 15, '9': 1, '28': 2, '2': 1, '12': 1}",100,0.6308009533259651
paper,"{'3': 2, '6': 14, '7': 8, '13': 8, '2': 1, '10': 1, '11': 1}",35,0.5589072358212479
peak,"{'13': 7, '12': 1, '2': 1, '3': 1}",10,0.28573324964312685
recept,"{'3': 10, '12': 2, '7': 3, '4': 17, '6': 7, '24': 1, '13': 2, '2': 2, '5': 1}",45,0.6574068564279804
review,"{'7': 10, '6': 14, '12': 2, '13': 15, '4': 2, '2': 1}",44,0.5501333718168957
signal,"{'2': 50, '12': 17, '6': 83, '3': 61, '7': 13, '13': 143, '4': 66, '5': 12, '16': 1, '10': 20, '8': 5, '9': 4, '1': 13, '34': 3, '33': 3, '23': 2, '11': 1, '35': 1, '32': 1, '24': 1, '15': 1}",501,0.9124888595452731
technic,"{'7': 2, '6': 3, '13': 1}",6,0.29635854173060727
technolog,"{'6': 19, '13': 23, '7': 6, '3': 2, '4': 8, '2': 3, '33': 1, '9': 1, '12': 2, '10': 1}",66,0.6726548617920589
waveform,"{'7': 4, '3': 4, '4': 8, '5': 1, '6': 10, '13': 28, '2': 1, '33': 1, '12': 2, '10': 1}",60,0.636821633194694
web,"{'13': 17, '6': 42, '7': 22, '4': 17, '23': 1, '3': 5, '12': 1, '2': 1, '28': 2}",108,0.6522343090929353
work,"{'12': 7, '6': 17, '7': 10, '13': 16, '4': 5, '3': 2, '2': 2, '23': 1, '33': 1}",61,0.7031210126027233
xml,"{'7': 7, '6': 10, '4': 2, '13': 2}",21,0.42114715956958826
acceler,"{'13': 12, '3': 4, '4': 2, '6': 8, '10': 6, '12': 1, '2': 2, '8': 1, '22': 1}",37,0.6760344771944229
accumul,"{'9': 1, '13': 2, '6': 4, '2': 3, '34': 1, '3': 1, '7': 1}",13,0.5642221406638653
acknowledg,"{'7': 2, '4': 5, '3': 2, '13': 1}",10,0.3878521795501207
activ,"{'13': 38, '4': 22, '6': 35, '3': 14, '7': 13, '34': 4, '10': 7, '33': 6, '29': 3, '1': 2, '12': 5, '2': 4, '8': 1, '9': 1, '14': 1, '15': 1}",157,0.8858122653459493
attend,"{'7': 6, '2': 1, '6': 2, '3': 1, '4': 2, '13': 2}",14,0.5128561334746076
cancel,"{'4': 5, '7': 2, '1': 1, '5': 1, '13': 3, '2': 1, '3': 3, '6': 3, '10': 1, '28': 1}",21,0.7139847104166237
consumpt,"{'13': 2, '4': 2, '6': 4, '7': 2, '12': 1}",11,0.48344131721195166
energi,"{'13': 23, '1': 2, '3': 2, '4': 6, '6': 10, '10': 1, '24': 1, '34': 1, '2': 2, '25': 1, '7': 1}",50,0.6350078985544119
evalu,"{'7': 20, '13': 76, '6': 49, '10': 2, '12': 3, '4': 2, '33': 2, '1': 1, '2': 1, '9': 1}",157,0.5346648790319013
event,"{'6': 88, '7': 21, '3': 14, '12': 11, '13': 50, '2': 11, '4': 25, '9': 3, '10': 5, '1': 3, '5': 1, '32': 1, '8': 2}",235,0.7787103020829337
fall,"{'13': 23, '2': 2, '6': 11, '7': 4, '10': 1, '12': 6, '33': 1, '3': 1, '4': 2}",51,0.6144586504433861
fals,"{'2': 1, '13': 3, '6': 2}",6,0.29635854173060727
hardwar,"{'2': 5, '4': 12, '6': 21, '12': 3, '13': 18, '7': 4, '3': 3, '10': 1, '27': 1, '1': 1}",69,0.7104723204519424
micro,"{'13': 32, '4': 2, '10': 3, '12': 5, '2': 5, '6': 6, '8': 1, '29': 1, '16': 1, '34': 1, '7': 2}",59,0.6156939935879411
minim,"{'13': 3, '6': 2, '4': 1}",6,0.29635854173060727
nurs,"{'7': 17, '4': 11, '13': 55, '3': 5, '12': 6, '6': 19, '2': 1, '10': 1, '33': 1, '34': 1, '1': 1, '25': 1}",119,0.6678041957408745
optim,"{'13': 20, '25': 1, '6': 19, '7': 12, '4': 2, '3': 1, '12': 1}",56,0.5428443310766232
piezoelectr,"{'33': 1, '6': 2, '13': 9, '3': 1, '7': 1, '8': 1, '2': 2}",17,0.4934850288795789
power,"{'1': 46, '13': 27, '9': 2, '10': 10, '24': 2, '2': 15, '7': 9, '3': 32, '4': 34, '12': 18, '6': 49, '8': 2, '5': 2}",248,0.9032942203908187
recharg,"{'13': 2, '7': 1, '1': 1}",4,0.26979531151190617
run,"{'6': 11, '4': 6, '23': 1, '3': 2, '33': 3, '13': 8, '2': 1, '10': 1, '9': 1, '7': 1}",35,0.6820297904113981
sit,"{'12': 1, '13': 1}",2,0.1505149978319906
sleep,"{'13': 41, '6': 14, '3': 4, '29': 1, '4': 11, '10': 4, '7': 4, '2': 2, '1': 1, '12': 1}",83,0.6275716622935047
solar,"{'7': 2, '13': 6, '6': 3, '1': 2, '34': 1, '2': 1}",15,0.5252637248653683
stand,"{'7': 2, '2': 1, '3': 2, '4': 1, '6': 3, '10': 2, '12': 3, '13': 5, '31': 2, '11': 1, '1': 1}",23,0.7640387260426345
suppli,"{'25': 2, '12': 5, '6': 24, '32': 1, '7': 11, '24': 2, '13': 23, '1': 15, '9': 3, '10': 4, '3': 13, '4': 7, '2': 12, '33': 1, '34': 2, '16': 1}",126,0.9375762653421654
transduc,"{'13': 19, '2': 5, '10': 5, '34': 2, '6': 3, '23': 2, '3': 1}",37,0.5544613113017299
walk,"{'2': 2, '3': 2, '4': 2, '6': 3, '10': 1, '12': 1, '13': 5}",16,0.5975123193972571
wear,"{'3': 10, '4': 15, '7': 9, '13': 38, '12': 5, '2': 7, '6': 25, '10': 5, '33': 2, '34': 3, '9': 1, '35': 1, '1': 1}",122,0.8189292864599103
custom,"{'6': 23, '7': 17, '13': 20, '4': 5, '3': 2, '29': 3, '28': 1, '2': 1, '12': 1, '25': 2}",75,0.6744737556776996
deriv,"{'6': 11, '13': 13, '7': 3, '12': 2, '24': 1, '4': 1, '29': 1}",32,0.5295485770814929
emr,"{'6': 69, '7': 55, '13': 67, '12': 5, '2': 4, '3': 2, '4': 14, '10': 2, '11': 1, '15': 1}",220,0.6384448727816675
path,"{'13': 17, '6': 25, '7': 6, '2': 11, '12': 3, '4': 14, '1': 4, '3': 18, '8': 1, '10': 1, '9': 1, '27': 1, '5': 2}",104,0.8327543413049757
physician,"{'13': 26, '6': 30, '7': 25, '3': 3, '4': 8, '2': 3, '33': 1}",96,0.6209856546394589
resourc,"{'32': 2, '3': 15, '4': 60, '6': 42, '12': 2, '13': 17, '7': 10, '2': 2, '1': 1, '10': 2, '8': 1, '24': 1, '16': 1}",156,0.6947056294093935
target,"{'10': 4, '11': 2, '13': 102, '15': 2, '22': 1, '7': 33, '6': 108, '16': 1, '4': 18, '2': 6, '12': 8, '3': 8, '33': 3, '27': 1, '25': 2}",299,0.6957485130348172
url,"{'6': 7, '7': 3, '4': 4, '2': 1}",15,0.4170471055055084
accord,"{'13': 1, '6': 4, '3': 2, '12': 2, '4': 2}",11,0.48344131721195166
entiti,"{'13': 94, '6': 125, '7': 18, '4': 14, '32': 1, '12': 1}",253,0.4650430044937539
match,"{'7': 14, '6': 35, '4': 6, '2': 2, '13': 28, '12': 1, '3': 2, '5': 2, '1': 1}",91,0.6146348667712478
radio,"{'6': 14, '7': 7, '4': 19, '13': 18, '2': 3, '3': 14, '12': 2, '1': 1}",78,0.7115403399501793
reader,"{'6': 9, '3': 2, '12': 2, '4': 2, '13': 3, '7': 1}",19,0.5181100184716501
sens,"{'4': 9, '13': 39, '6': 46, '7': 4, '34': 4, '10': 13, '28': 1, '33': 1, '12': 7, '1': 4, '3': 12, '5': 3, '9': 3, '2': 10, '16': 1, '11': 1, '8': 1, '25': 3, '20': 1}",163,0.8986513411477313
uniqu,"{'7': 15, '2': 1, '4': 7, '6': 22, '13': 21, '32': 1, '12': 1, '10': 1, '3': 1}",70,0.6214337769152225
altern,"{'4': 1, '7': 2, '6': 1, '13': 1}",5,0.35563025007672866
anonym,"{'6': 10, '15': 1, '13': 6, '7': 8, '9': 1, '4': 3, '11': 1, '3': 1}",31,0.6165888537300264
configur,"{'6': 30, '7': 7, '4': 13, '2': 5, '10': 2, '3': 9, '33': 1, '13': 15, '15': 1}",83,0.7062561430441627
format,"{'3': 5, '13': 30, '6': 35, '7': 17, '2': 4, '4': 12, '12': 1}",104,0.6431163949422
invent,"{'7': 3, '13': 4, '6': 2}",9,0.3444856161241737
modifi,"{'6': 23, '7': 12, '13': 13, '4': 8, '3': 2, '2': 1, '1': 1, '30': 1}",61,0.6215056140389499
preserv,"{'13': 8, '7': 5, '6': 4, '4': 2}",19,0.45890271654489756
short,"{'13': 9, '6': 12, '7': 2, '3': 11, '4': 17, '1': 1, '2': 3, '10': 1}",56,0.6675064868201659
acquisit,"{'6': 22, '7': 8, '13': 40, '2': 3, '9': 1, '10': 4, '3': 4, '4': 7, '11': 1}",90,0.6373666592859025
actual,"{'13': 4, '7': 2, '6': 3}",9,0.3444856161241737
archiv,"{'6': 11, '7': 3, '13': 13, '1': 1, '3': 1, '25': 1}",30,0.4750024263372526
bill,"{'6': 17, '7': 22, '13': 11, '4': 1}",51,0.45073831809693177
carrier,"{'13': 5, '4': 21, '7': 1, '2': 3, '6': 3, '3': 7, '9': 1, '1': 1, '12': 3, '10': 2, '16': 1, '11': 1}",49,0.7073197025962514
complet,"{'13': 12, '7': 9, '6': 12, '10': 1, '12': 5, '33': 2, '4': 5, '3': 1, '2': 1}",48,0.7023766529022124
correl,"{'12': 1, '4': 4, '13': 21, '6': 26, '3': 2, '7': 4, '2': 2, '10': 2}",62,0.5729100155655891
enter,"{'7': 2, '1': 1, '2': 1, '3': 3, '4': 4, '6': 5, '13': 4, '10': 1}",21,0.6566456636234845
entri,"{'7': 11, '6': 25, '13': 19, '33': 1, '35': 1, '4': 1, '11': 1, '3': 1}",60,0.5340546471884394
error,"{'3': 2, '4': 6, '5': 2, '6': 11, '7': 4, '2': 1, '13': 4}",30,0.6200896461902753
help,"{'4': 1, '13': 1, '7': 1}",3,0.25938375012788123
insur,"{'7': 48, '4': 4, '6': 31, '13': 30}",113,0.4914666833301365
limit,{'2': 1},1,0.0
maintain,"{'12': 1, '13': 4, '4': 2, '3': 2, '2': 1, '6': 2, '7': 1}",13,0.5777676221296869
multipl,"{'6': 27, '7': 6, '13': 18, '2': 3, '12': 2, '3': 3, '4': 5, '1': 1, '33': 1, '9': 1, '10': 1}",68,0.672901291982243
occur,"{'12': 2, '4': 2, '6': 3, '7': 1, '13': 2, '3': 1}",11,0.5381740436963119
place,"{'2': 5, '35': 2, '13': 7, '34': 2, '3': 3, '6': 2, '7': 2, '31': 2, '4': 1, '12': 1}",27,0.7397062881395624
prior,"{'7': 3, '13': 4, '6': 3, '4': 2, '3': 1}",13,0.5043643521728158
problem,"{'6': 17, '7': 6, '13': 14}",37,0.39972777052778413
procedur,"{'6': 36, '7': 20, '13': 35, '12': 2, '2': 3, '4': 10, '9': 1, '24': 1, '10': 1, '3': 5, '1': 2}",116,0.6943150847909105
revis,"{'13': 2, '2': 1, '6': 2, '4': 2}",7,0.39990579277908317
situat,"{'11': 1, '12': 5, '13': 6, '6': 10, '32': 1, '7': 6, '3': 2, '4': 9, '33': 1, '2': 2, '10': 2}",45,0.7835855459879763
trauma,"{'6': 1, '13': 3, '7': 1, '2': 2}",7,0.3747498986282715
workflow,"{'7': 23, '3': 2, '13': 22, '6': 35, '32': 1, '12': 3, '4': 8, '33': 1, '9': 1, '28': 1}",97,0.6476386283062379
workstat,"{'6': 13, '7': 7, '2': 2, '12': 1, '13': 11, '4': 3}",37,0.5665321366558634
wrong,"{'13': 3, '12': 1, '6': 2}",6,0.29635854173060727
amplifi,"{'13': 19, '3': 10, '7': 1, '6': 6, '4': 7, '5': 7, '2': 6, '1': 2, '12': 2, '10': 1, '33': 1, '8': 1, '9': 1, '16': 1, '15': 1}",66,0.8389307648234745
cancer,"{'11': 15, '13': 38, '15': 11, '16': 13, '6': 25, '7': 4, '2': 1, '10': 2, '4': 1, '35': 1, '12': 1}",112,0.7249385322747044
gene,"{'11': 3, '13': 18, '15': 11, '6': 25, '16': 3, '4': 1}",61,0.5500173732213552
good,"{'4': 2, '7': 1, '6': 3, '33': 1, '12': 1, '13': 2}",10,0.5179551791165188
kit,"{'6': 8, '7': 3, '13': 11, '34': 1, '11': 2, '4': 2, '10': 1, '12': 1, '15': 1}",30,0.627892419724721
marker,"{'2': 1, '6': 16, '7': 3, '10': 3, '13': 19, '11': 4, '15': 2, '3': 1, '4': 1}",50,0.6167963383867219
mean,"{'7': 3, '6': 8, '13': 1}",12,0.2747220991884609
packag,"{'3': 4, '6': 20, '7': 6, '2': 6, '12': 1, '13': 14, '25': 5, '8': 2, '4': 6, '10': 1, '34': 1, '9': 4, '21': 1, '29': 1}",72,0.8437198846868924
presenc,"{'4': 3, '13': 7, '6': 8, '7': 3, '2': 2, '12': 2, '25': 1, '3': 1, '9': 1}",28,0.6792081167974592
region,"{'6': 103, '13': 34, '2': 44, '7': 11, '3': 23, '10': 7, '4': 13, '9': 12, '12': 2, '21': 1, '8': 8, '5': 1, '1': 1, '19': 1, '25': 1, '32': 1, '29': 1}",264,0.804060407567498
treat,"{'6': 12, '13': 16, '7': 5, '4': 1, '12': 1, '16': 1, '15': 1}",37,0.5150972721425677
absenc,"{'13': 5, '6': 3, '7': 2, '4': 2, '12': 1}",13,0.48729906374078846
arthriti,"{'16': 1, '11': 1, '15': 1, '21': 1, '13': 4}",8,0.40316366021573286
compar,"{'7': 3, '6': 3, '4': 1, '2': 1, '5': 1}",9,0.44482894801216744
diabet,"{'11': 3, '6': 15, '12': 1, '13': 27, '10': 1, '7': 2}",49,0.4398253310204105
elev,"{'13': 2, '4': 1, '12': 1, '6': 1}",5,0.35563025007672866
express,"{'16': 5, '11': 3, '15': 7, '14': 3, '6': 16, '7': 2, '13': 6, '4': 1}",43,0.6735872163190251
healthi,"{'13': 5, '6': 1}",6,0.12969187506394064
induc,"{'2': 1, '6': 3, '13': 3, '4': 1}",8,0.3811522528337727
level,"{'9': 2, '2': 6, '6': 36, '13': 25, '7': 5, '3': 8, '4': 10, '5': 2, '12': 8, '1': 3, '10': 4, '34': 1, '15': 1}",111,0.8109668422527042
likelihood,"{'12': 1, '4': 2, '6': 8, '7': 3, '13': 6}",20,0.4922045175480677
protein,"{'16': 7, '11': 7, '15': 6, '10': 2, '6': 3, '13': 1}",26,0.5870863158244596
respond,"{'12': 5, '13': 10, '4': 5, '3': 4, '7': 4, '6': 6, '2': 1, '34': 1, '10': 1}",37,0.7244015234691371
syndrom,"{'4': 1, '6': 4, '7': 3, '16': 1, '13': 9}",18,0.4493453052938256
prefer,"{'6': 8, '3': 2, '4': 5, '7': 5, '13': 2}",22,0.53112834479878
clinician,"{'10': 4, '7': 27, '13': 34, '6': 31, '4': 6, '12': 4, '3': 4}",110,0.643461656905264
fine,"{'10': 1, '3': 2, '4': 4, '13': 5, '6': 5, '7': 1}",18,0.5537076272661149
fulli,"{'13': 4, '6': 4, '7': 3}",11,0.369325634929833
graphic,"{'6': 56, '7': 19, '10': 1, '13': 27, '2': 12, '4': 9, '12': 2, '3': 5, '33': 3, '9': 3}",137,0.7047410815811481
heal,"{'13': 3, '6': 2, '7': 1}",6,0.29635854173060727
impair,"{'2': 1, '3': 3, '4': 1, '6': 3, '10': 1, '12': 1, '13': 6, '7': 1, '9': 1}",18,0.6329281123923527
needl,"{'13': 13, '10': 1, '6': 2, '8': 1, '7': 1, '3': 1, '12': 1}",20,0.4145407152412127
transplant,"{'16': 1, '11': 1, '13': 3, '15': 1}",6,0.3465302076746042
ultrasound,"{'3': 4, '12': 3, '6': 17, '7': 4, '13': 52, '10': 10, '2': 3, '1': 1, '4': 1}",95,0.5755778367651607
valid,"{'6': 25, '7': 10, '13': 15, '4': 9, '10': 4, '3': 1, '25': 1, '12': 1, '11': 1}",67,0.6530606924596799
wind,"{'13': 17, '6': 11, '9': 2, '2': 3, '1': 1, '3': 2, '25': 1, '10': 1, '4': 1}",39,0.5840294769724022
agent,"{'12': 2, '6': 23, '16': 4, '19': 1, '7': 14, '13': 21, '30': 1, '14': 3, '15': 2, '11': 2, '2': 2, '3': 2, '4': 11, '10': 1, '28': 1, '35': 1}",91,0.8330226626566035
attach,"{'6': 12, '13': 12, '2': 5, '3': 6, '4': 4, '7': 2, '12': 3, '9': 2, '10': 2, '32': 1, '1': 2, '8': 1, '34': 1, '28': 1}",54,0.8463638495598736
bind,"{'13': 6, '6': 7, '16': 2, '10': 1, '11': 2, '15': 2, '4': 2, '34': 1}",23,0.6368961483877701
biomark,"{'16': 3, '11': 9, '14': 1, '15': 7, '10': 3, '13': 11, '22': 1, '6': 7}",42,0.6910856164453181
compound,"{'6': 4, '7': 3, '10': 1, '13': 3, '8': 1, '2': 1}",13,0.5275205056854297
defin,"{'7': 2, '2': 1, '6': 11, '13': 6, '10': 1, '23': 1, '4': 1}",23,0.506651139927007
efficaci,"{'12': 1, '13': 8, '6': 2, '15': 1, '16': 1}",13,0.37597921517600236
encod,"{'2': 12, '4': 11, '6': 21, '7': 2, '12': 1, '3': 2, '24': 1, '13': 10, '5': 1}",61,0.6648171322371623
fragment,"{'6': 9, '7': 2, '16': 2, '10': 1, '11': 2, '15': 1, '5': 2, '13': 7, '4': 2, '2': 1}",29,0.6958343197435803
hybrid,"{'4': 3, '6': 7, '13': 4, '9': 1, '2': 1, '12': 1}",17,0.5111926756833426
inact,"{'3': 1, '7': 2, '4': 2, '6': 1, '12': 1, '13': 1}",8,0.5004325665136883
infecti,"{'11': 1, '4': 1, '6': 4, '7': 1, '13': 2}",9,0.4309468661668008
inhibit,"{'1': 1, '2': 1, '3': 1, '4': 1, '13': 1, '6': 1, '7': 1}",7,0.5289186480636465
lesion,"{'13': 23, '6': 20, '7': 4, '2': 1, '10': 1, '11': 1, '15': 1}",51,0.4708198972848867
mass,"{'13': 10, '7': 4, '12': 2, '6': 5, '1': 1, '25': 2, '10': 1}",25,0.5827772066748436
microscop,"{'2': 2, '6': 4, '13': 5}",11,0.3491575667828915
normal,"{'4': 6, '7': 3, '6': 14, '2': 1, '13': 4, '12': 1, '3': 1}",30,0.5489185578110495
outcom,"{'6': 9, '13': 10, '7': 3, '4': 2, '15': 1}",25,0.4796775346813545
