word,fields,sum,brillouin
opposit,"{'1': 1, '10': 1, '3': 4, '6': 1, '2': 1, '34': 1, '4': 1}",10,0.5179551791165189
photographi,"{'13': 9, '7': 1, '24': 1, '9': 2, '2': 2, '6': 2}",17,0.4757773820758153
posit,"{'13': 19, '7': 3, '6': 23, '10': 7, '3': 12, '4': 11, '9': 6, '27': 2, '33': 1, '12': 5, '2': 11, '25': 1, '23': 1, '8': 1, '34': 1}",104,0.8934080075911002
reflect,"{'24': 1, '13': 4, '10': 9, '6': 15, '1': 2, '12': 2, '2': 11, '3': 7, '34': 1, '9': 10, '32': 3, '4': 3}",68,0.8428863564671188
remot,"{'2': 17, '4': 49, '6': 68, '7': 33, '13': 101, '12': 11, '3': 14, '10': 5, '9': 1, '30': 1, '25': 1, '31': 1}",302,0.755566189279787
schemat,{},0,
sensor,"{'13': 118, '4': 45, '12': 21, '3': 43, '7': 23, '6': 93, '10': 29, '2': 42, '8': 5, '9': 13, '33': 3, '5': 2, '34': 7, '16': 2, '11': 5, '1': 7, '15': 1, '30': 2, '32': 2, '23': 1, '24': 2, '20': 2}",468,0.9666875412159116
separ,"{'2': 1, '3': 1, '12': 2, '13': 4, '4': 1, '6': 5, '7': 3, '34': 1, '20': 1, '1': 1}",20,0.6923775441535429
set,"{'10': 1, '13': 12, '6': 26, '7': 3, '4': 15, '1': 1, '3': 6, '12': 3, '28': 2, '2': 1, '15': 1}",71,0.7015851097116137
show,{},0,
surround,"{'3': 2, '6': 5, '2': 3, '1': 1, '7': 1}",12,0.46016453933228285
system,"{'6': 3, '13': 3}",6,0.21683833261066354
televis,"{'3': 2, '4': 4, '6': 3, '7': 2, '2': 1, '13': 2}",14,0.5627825623557519
view,"{'2': 3, '6': 4, '4': 1}",8,0.30589475391777743
volum,"{'13': 14, '6': 18, '2': 4, '11': 1, '7': 4, '4': 1, '10': 2}",44,0.559463579452806
access,"{'4': 48, '13': 32, '6': 66, '7': 32, '30': 1, '3': 6, '33': 1, '35': 1, '12': 5, '34': 1}",193,0.6695810441690496
audit,"{'6': 20, '7': 12, '13': 19, '2': 1, '4': 3}",55,0.5122540592466371
author,"{'6': 42, '7': 18, '4': 27, '13': 30, '2': 1, '3': 2, '34': 1, '12': 3, '21': 1, '15': 1}",126,0.6577881194878217
automat,"{'4': 4, '6': 17, '12': 3, '7': 10, '13': 17, '2': 1, '3': 2, '32': 1, '10': 1, '35': 1}",57,0.6752008954886006
block,"{'4': 2, '6': 3, '13': 1}",6,0.29635854173060727
caregiv,"{'13': 24, '6': 17, '7': 15, '3': 1, '12': 10, '4': 5, '2': 1, '10': 2}",75,0.6665915153738802
chang,"{'13': 15, '6': 27, '7': 3, '2': 16, '4': 10, '12': 2, '10': 3, '3': 5, '1': 1, '24': 1}",83,0.7304304327098161
client,"{'3': 7, '6': 80, '2': 7, '7': 40, '12': 1, '4': 47, '13': 67, '11': 2, '29': 1, '10': 2}",254,0.6825618287310685
design,"{'7': 9, '2': 6, '6': 30, '3': 7, '13': 12, '29': 1, '4': 9, '12': 1, '10': 1, '1': 1, '25': 1}",78,0.7214195449561343
diagram,{},0,
electron,"{'7': 13, '6': 43, '4': 9, '13': 33, '3': 3, '2': 2, '1': 1}",104,0.5755744116455723
