From,To
['US2010295870'],CN106236118
['US2015293592'],US2020107458
['US2015219902'],EP3508905
['US2015219902'],EP3508905
['EP3258408'],WO2019203598
['US2018096187'],WO2019203598
['EP3258408'],WO2019203598
['US2018096187'],WO2019203598
['EP3508960'],WO2021246813
['KR1516766'],US2018013080
['EP3258408'],US2019205605
['WO2017155319'],US2019205605
['EP3258408'],US2021064834
['EP3258408'],US2021064834
['EP3226101'],US2019146622
['US2015153893'],WO2020032668
['EP3062200'],WO2020032668
['WO2018026102'],WO2020032668
['WO2017155319'],CN109521590
['EP3226101'],CN109981855
['EP3226101'],US2020042038
['US2018017996'],US2020042038
['EP3051380'],US2018293420
['EP3258408'],US2018293420
['KR1516766'],CN109410766
['US2017251564'],US2019120805
['US2018003520'],US2019120805
['WO2019182336'],KR2257370
['CN108553094'],CN110664057
['FR2982384'],CN107067992
['CN102799783'],CN103713740
['WO2017150929'],CN109001934
['EP3226101'],CN112311967
['US2013172691'],US2014206954
['US2013231574'],US2014206954
['WO2012170586'],US2014206954
['WO2012170924'],US2014206954
['WO2012171032'],US2014206954
['CN202135173'],CN108983426
['CN206431606'],CN108983426
['EP3490058'],EP3379646
['WO2014047402'],US2019235242
['WO2017123055'],US2018074697
['EP3226101'],WO2020036275
['WO2018008820'],WO2020036275
['WO2020045862'],WO2021206415
['CN104689475'],CN105597197
['CN101933840'],CN107280765
['US2016132822'],CN108445493
['CN102156818'],CN106777998
['WO2012110700'],WO2016040949
['WO2013101818'],WO2016040949
['US2016062552'],US2020356230
['CN203263900'],CN103301514
['CN203133951'],US2019154329
['CN203133951'],WO2019099767
['CN103505188'],CN104248424
['TW201120673'],US2018026680
['WO2016028093'],CN110164345
['CN108030481'],CN113331806
['CN206239798'],CN108814622
['WO2013176758'],US2018077860
['US2015220299'],US2019361659
['CN101732041'],CN102784425
['CN105326495'],CN106236086
['CN101937488'],CN102819686
['US2016054569'],US10966239
['WO2012135028'],US2018140858
['WO2015127466'],US2018140858
['CN101815065'],CN110868552
['US2011072379'],US2018001017
['US2014067426'],US2018001017
['US2011072379'],US2017119955
['US2014067426'],US2017119955
['WO2016193972'],CN111166342
['CN104184759'],CN104618206
['CN111265238'],CN113116379
['CN102509012'],CN103593816
['WO2014037922'],CN108053883
['CN106951719'],CN108053883
['WO2012141475'],WO2015147349
['WO2018135780'],CN110674699
['US2018096187'],CN109791610
['US2018300526'],CN109791610
['US2017000443'],WO2021157403
['US2012157793'],WO2019235225
['WO2015134895'],ES2579911
['JP2019165136'],WO2021193254
['US2016126614'],WO2018052188
['US2016126614'],WO2018052188
['WO2016039592'],WO2019088756
['WO2016039592'],WO2019088756
['WO2017099377'],CN109524760
['EP3101578'],WO2018155928
['KR2019071550'],CN110460795
['US2018109871'],WO2022080540
['WO2017119597'],US10394062
['JP2011130900'],CN104173069
['WO2012030305'],BE1022861
['EP3051625'],DE102017130871
['KR2017098110'],US2020053534
['US2017141820'],WO2017183802
['US2017141820'],WO2017183802
['US2017142241'],WO2017183802
['WO2013063507'],WO2021102289
['US2018070009'],WO2019206076
['CN109129471'],CN112957008
['CN103593554'],CN110491521
['CN106548037'],CN107301107
['WO2011027535'],WO2021220659
['CN101968644'],CN109297536
['EP3591500'],CN111756895
['US2015154936'],CN110164313
['WO2015133788'],CN110164313
['US2017160819'],CN110164313
['WO2016117804'],CN111833749
['WO2012061452'],US9913669
['WO2012061452'],US2020046409
['CN106725249'],WO2019103694
['WO2013022890'],WO2017065380
['WO2019194520'],US2021212221
['US2019268455'],US10963014
['EP3547101'],US10963014
['WO2017119597'],US11016529
['EP3489795'],US11016529
['WO2017119597'],US11016529
['EP3489795'],US11016529
['EP3608751'],CN113612873
['US2017142241'],CN113612873
['EP3608751'],CN113612873
['EP3608751'],CN113612873
['EP3608751'],CN113612873
['US2017142241'],CN113612873
['EP3608751'],CN113612873
['EP3608751'],CN113612873
['EP3651446'],WO2020209488
['WO2017061082'],WO2019044103
['WO2019054626'],US2021152761
['US2012323591'],US2016179460
['CN206515823'],CN109308175
['EP3062402'],US2018261957
['US2012323208'],US2016101632
['US2019034690'],US2021091342
['WO2015147503'],WO2018062894
['EP3489795'],EP3926440
['JP2011160891'],CN106959571
['WO2012171025'],CN105373229
['WO2010038176'],US2018376586
['WO2012113014'],US2018376586
['WO2014025430'],US2018376586
['WO2013096954'],US2019058994
['EP2990912'],US2019196594
['WO2019107909'],CN111587016
['WO2017099377'],CN109216866
['US2017141820'],CN109167152
['US2017142241'],CN109216876
['US10075206'],CN110191600
['US2017142241'],CN109167854
['WO2017099377'],CN109167154
['US2010070249'],US2016140313
['CN108833627'],CN109769048
['EP3028750'],US2019028807
['EP2851001'],WO2019077454
['CN207590657'],CN111685721
['WO2012061452'],US10433893
['CN107361747'],CN109497983
['US2014247156'],CN109497983
['CN106877896'],CN113018828
['CN207654141'],CN110954299
['CN204890966'],CN109847273
['CN201409916'],CN109059979
['CN205433651'],WO2018050054
['CN202821639'],CN103976716
['GB2504299'],CN105167737
['US2018140204'],CN107961008
['CN107788976'],CN110179457
['US2013192071'],CN106175791
['WO2019172709'],KR2262991
['US2020060020'],KR2262991
['EP3591500'],WO2022103009
['WO2019182336'],WO2022097899
['US2017083049'],CN109859634
['WO2017022926'],CN112489557
['EP2996013'],US2020379516
['WO2018034555'],US2020379516
['US2017206049'],US2020379516
['US2020177714'],US2020379516
['EP2996013'],US2020379516
['WO2018034555'],US2020379516
['US2017206049'],US2020379516
['US2020177714'],US2020379516
['US2020177714'],WO2022098023
['CN203693590'],CN105266795
['KR1516766'],CN108847136
['KR1516766'],CN108847136
['US2019268455'],WO2022100241
['EP2405336'],US2018349731
['WO2014110176'],US2014012242
['CN104815374'],CN106571094
['CN104224163'],CN113288059
['CN111387984'],CN113288059
['CN104224163'],CN113288059
['CN111387984'],CN113288059
['WO2017075402'],WO2019183529
['US2017142241'],WO2020045786
['CN107693050'],CN113499094
['CN204909512'],CN106859747
['US2018004333'],US2018088736
['WO2018182734'],WO2019232082
['WO2017152098'],US2022096015
['KR1516766'],EP3054656
['CN104305989'],CN108158576
['CN104720791'],CN108158576
['KR1516766'],CN111262965
['CN106202027'],CN108170654
['CN104835301'],CN105608878
['CN103107925'],CN108924612
['WO2012135028'],US2017143977
['WO2015127466'],US2017143977
['WO2010038176'],US2018067516
['WO2012113014'],US2018067516
['WO2014025430'],US2018067516
['CN102008316'],CN113081027
['EP2698972'],US2017251349
['WO2012087161'],DE102019002227
['US2015209113'],CN105044925
['WO2013163443'],CN105044925
['CN204839531'],CN110772264
['CN203524646'],CN106073710
['CN103197529'],CN104949707
['US2016278722'],US2019192095
['CN105607573'],CN108423426
['US2012242501'],WO2015152975
['WO2011156671'],WO2015152975
['CN204363970'],CN112161709
['US2016038008'],US2018177497
['WO2016148297'],EP3375406
['WO2014002458'],CN109481784
['CN105709302'],CN109481784
['EP2990912'],US2019084005
['CN203118262'],CN107465889
['CN205336429'],CN107465889
['CN104840321'],CN105520817
['CN107115106'],CN109875839
['CN103593051'],CN105204604
['US2017007450'],US2020081256
['CN101721202'],CN103919531
['CN103961069'],CN106803025
['CN102438039'],CN109450904
['CN105681442'],CN109450904
['CN109036586'],CN109450904
['CN102438039'],CN109450904
['CN105681442'],CN109450904
['CN109036586'],CN109450904
['CN208837922'],CN110169763
['CN106038143'],CN110353676
['CN201438724'],CN104966450
['CN102908157'],CN106308828
['US2019394894'],US2021263565
['US2019114133'],WO2022080698
['US2020264673'],US2022159109
['WO2009140757'],CN110353690
['CN101937489'],CN108346455
['CN110097953'],CN113271361
['CN205193877'],CN105426675
['EP3026544'],WO2018219249
['CN204318733'],CN108508609
['US2018188772'],CN112330939
['US2018004333'],US2018356861
['US2014171767'],WO2020001432
['US2017048991'],US2018205140
['US2019027812'],WO2022103188
['WO2019093782'],WO2022103188
['US2016154528'],US2018046249
['US2011072379'],US2015283309
['US2015054701'],EP3293816
['US2020266522'],WO2022085980
['US2015219608'],WO2019135486
['US8773271'],US2016020599
['US2018284047'],WO2022098123
['US2016218419'],WO2022047765
['WO2017099377'],US2019068764
['WO2017099377'],US2019068764
['US2017142241'],US2019068764
['WO2019194520'],WO2022086206
['US2020267834'],WO2022086206
['EP2980548'],US11183828
['US2015170504'],US2019340900
['EP3121680'],WO2017022926
['US2019094970'],US2019094969
['EP3454533'],WO2022108155
['KR2020100986'],WO2022108155
['EP3454533'],WO2022108155
['KR2020100986'],WO2022108155
['WO2019156487'],US2021243519
['US8773271'],US2019171586
['US2018206354'],US2020080775
['US2018069301'],WO2019009441
['US2012116241'],EP2763380
['WO2018021694'],WO2019240438
['EP3490058'],US2020021015
['US2019165478'],US2020021015
['EP3239879'],US2019266374
['EP3239879'],US2019266374
['WO2019245165'],WO2022103207
['EP3614493'],WO2022103235
['WO2017181287'],WO2020053578
['CN202408871'],CN103385701
['CN203502812'],CN110787337
['CN102213575'],CN102608961
['CN105740307'],CN106557583
['CN101944162'],CN106354702
['WO2016171534'],CN108673490
['CN104257364'],CN107680353
['US2017017815'],WO2022095089
['WO2013027004'],WO2016020630
['WO2013027004'],WO2016020630
['CN204631355'],CN107101633
['CN104840321'],CN105662766
['WO2015054672'],WO2017013295
['WO2013027004'],US2017214907
['US2019034690'],CN111095281
['US2014180041'],CN107510434
['CN103034775'],CN108451500
['FR3004098'],US2016209001
['US2017364172'],CN108494909
['CN204169813'],CN106224795
['CN101953675'],CN103654715
['CN110855860'],CN112682674
['WO2009094643'],US9737248
['US2020264674'],KR2317806
['US2020264673'],KR2317806
['US10388411'],US11329683
['CN202060885'],CN103035114
['CN102299952'],CN103473727
['CN103324831'],CN108550387
['CN106886680'],CN108550387
['CN107610767'],CN108550387
['CN202916835'],CN108550387
['US2014152760'],US2019306457
['WO2013096954'],GB2530563
['CN102647369'],CN104753551
['CN210842182'],CN112758475
['US7912991'],US8356184
['CN106971059'],CN113273511
['CN206822623'],CN109077722
['CN102247125'],CN104287696
['CN202821639'],CN103654731
['CN107067544'],CN108032630
['EP3226101'],US2019214595
['US2018295222'],CN110740199
['CN203354556'],CN103565463
['CN205094477'],CN105167799
['CN107456233'],CN108652705
['CN103646492'],CN104933304
['CN104166953'],CN104933304
['CN101669815'],CN105025257
['WO2015023980'],CN106110499
['CN202776284'],CN105105854
['CN203153118'],CN104749351
['US2015219608'],US2019056369
['US2015219608'],US2019056369
['KR2015076751'],WO2019093796
['WO2015102464'],CN105929541
['CN202515651'],CN105640527
['US2017160819'],CN110018732
['WO2017104933'],WO2018199499
['WO2017022926'],CN109788091
['WO2015126466'],CN106890024
['RU2458625'],RU171818
['CN103593051'],CN105380590
['CN202206423'],CN103505193
['CN201519339'],CN103110460
['CN106546161'],CN109171743
['CN203169302'],CN105024722
['CN203169302'],CN105024723
['WO2016032298'],CN112155596
['CN201886024'],CN105301256
['CN101937489'],CN105678670
['CN104899469'],CN105678670
['US2015264164'],CN104869192
['WO2015057471'],CN105963101
['CN101732041'],CN103065431
['CN203988128'],CN104095655
['US2016165023'],CN110661908
['CN205795702'],CN113368457
['WO2012122347'],CN106407701
['CN105681442'],WO2018006599
['CN103514378'],US2016051146
['CN101926675'],US2016071341
['US2015244916'],WO2017208638
['US2018261824'],DE102020202857
['CN101795296'],CN104055485
['WO2014197822'],FR3041233
['WO2015126466'],EP3708066
['US2020134848'],CN112857756
['US2011227739'],CN103040460
['US2016367148'],CN108937943
['CN107693050'],CN109009211
['CN107456233'],CN108318390
['US2009318779'],US2018151037
['US2009259336'],US2014263425
['CN102609628'],CN107993711
['CN103870713'],CN105868549
['CN103976791'],CN105868549
['CN101779986'],CN107480431
['CN202062811'],CN107480431
['CN203736189'],CN106343975
['CN204613942'],CN104715152
['CN103731362'],CN104636975
['CN110502607'],CN112233309
['CN103488880'],CN109243622
['CN107247882'],CN109243622
['CN102354350'],CN103578067
['US2013268555'],CN103578067
['CN102902996'],CN103750957
['CN104835017'],CN108550389
['CN106651706'],CN108550389
['CN107591195'],CN108550389
['CN201832201'],CN113230487
['US2012157793'],CN105796338
['CN103500271'],CN107610744
['CN105447308'],CN107610744
['CN210804193'],CN111870804
['CN110246558'],CN113350629
['US2016126614'],CN108226079
['EP3490059'],CN112688050
['US2013285836'],US2019303553
['US7912991'],US9059742
['US8375151'],US9059742
['US2011082710'],US2019258849
['WO2017142195'],WO2019045255
['EP3023861'],WO2018004115
['CN108565019'],CN109935326
['CN109378066'],CN109935326
['US2012197092'],CN109497997
['US2016135706'],CN109497997
['CN106980608'],CN107797989
['US2016162007'],CN106774790
['CN103268583'],US2016275249
['CN103961069'],US2016275249
['CN104408677'],US2016275249
['CN107665729'],CN113488161
['CN111354464'],CN112017784
['US2020090796'],CN112017784
['CN111260209'],CN111985584
['WO2017026821'],WO2020027614
['US10528556'],US11126621
['US8047652'],US2020029803
['WO2018057714'],WO2020050431
['US2012166546'],WO2019102749
['WO2012170924'],WO2016134540
['CN101822535'],CN103905096
['US2016104484'],EP3396665
['CN105160175'],CN106343982
['CN103051731'],CN104645499
['CN201894779'],CN104645499
['CN204485073'],CN104645499
['KR1516766'],CN111010466
['KR1516766'],EP3605291
['WO2017142286'],CN110022390
['KR2019001359'],CN112554602
['CN101822533'],CN108023606
['CN101721202'],CN103426287
['US2013197322'],US9836484
['WO2012085687'],DE102012214697
['US2012136667'],US2019193443
['CN203482242'],CN107888276
['US2016033440'],CN108344771
['US2011077714'],EP2843847
['WO2017108215'],CN114100104
['WO2009137682'],US2013073311
['WO2010065262'],US2013073311
['CN107343054'],CN108769620
['CN105678098'],CN112735086
['CN101732041'],CN103239216
['CN105678098'],CN107536603
['CN202408871'],CN107536603
['US2012203076'],CN107320072
['CN107095666'],CN109171683
['CN103514378'],CN108565030
['CN103268419'],CN106618544
['CN205964065'],CN111134717
['CN207965585'],CN112325934
['CN201519339'],CN102824667
['CN104036147'],CN109389812
['US9720934'],US2018297207
['US2012242501'],US2019216319
['CN111839976'],CN112370663
['WO2013156999'],CN105286768
['CN103479362'],CN106725504
['CN105681442'],CN106725504
['CN104799825'],CN105610459
['CN211423928'],CN112098636
['CN106074152'],CN106420343
['CN206621359'],CN108742605
['CN101815065'],CN103037191
['WO2009094643'],US2016109710
['CN101933841'],CN102670297
['US2016267310'],US2017286729
['US2012226768'],US2014376530
['US9659477'],US11037675
['DE102014200915'],CN108742665
['US2016255182'],WO2022026096
['US2013262357'],WO2020198065
['US2014307044'],US2019116306
['US7912991'],US9270296
['US8375151'],US9270296
['US7912991'],US2021349828
['US8375151'],US2021349828
['WO2012171025'],CN104883206
['CN107456233'],CN108703742
['CN106780229'],CN112185589
['CN109616170'],CN112185589
['CN106780229'],CN112185589
['CN109616170'],CN112185589
['WO2018038368'],WO2019069728
['KR2016126928'],WO2019017708
['US2009279758'],US2014088416
['CN102117385'],CN106595694
['CN111370084'],CN113077901
['US10770180'],CN113077901
['CN105491097'],CN108198596
['WO2019147012'],WO2018211460
['EP3553638'],WO2018211460
['WO2020226383'],WO2018211460
['WO2017122907'],CN110138941
['WO2016161152'],CN113261972
['CN104546193'],CN106618857
['CN203042462'],CN108420422
['JP2019165136'],WO2021100556
['CN111306429'],CN112769379
['CN204542083'],CN106843395
['CN107978365'],WO2022068858
['CN101884527'],CN103054565
['CN101548882'],CN102090930
['CN202776284'],CN103767689
['CN108461154'],CN110060748
['US2014153730'],CN106037790
['US2010049363'],WO2016138047
['WO2018006087'],CN109730726
['JP2012125409'],WO2019022017
['KR1516766'],WO2016204423
['CN101934111'],CN102284121
['WO2009094643'],US8880139
['GB2517179'],CN105095635
['CN105662378'],CN106236050
['WO2013184437'],CN105662455
['WO2015021528'],WO2019106078
['WO2014197822'],WO2021245146
['CN101732041'],CN102525434
['EP2950510'],CN106453513
['CN203012802'],CN105608836
['CN103268419'],CN110037706
['CN205068378'],CN106326164
['US2018145469'],CN109888578
['CN102831305'],CN106355005
['CN106951719'],CN110634563
['CN107038343'],CN110634563
['WO2016022437'],CN110634563
['CN103268419'],CN103745577
['US2014118302'],CN105302398
['WO2018008820'],CN106415459
['WO2018008820'],CN106415459
['US2011148622'],WO2015130705
['US2013017807'],WO2015130705
['US2016162007'],CN106569339
['CN103948376'],CN106343970
['CN104825142'],CN107802247
['CN106295938'],CN107564574
['US2017244151'],WO2019235860
['US2012323208'],US2017036800
['US2019288809'],WO2019149162
['WO2020040572'],WO2021218676
['US2016261452'],US2018176063
['WO2015190847'],WO2017177867
['CN101937489'],CN103591954
['CN201830301'],CN103591954
['US2018376284'],US2019349929
['WO2016123047'],US2019096412
['EP2752733'],US2014268054
['WO2014204330'],US2019042182
['WO2009110702'],WO2012111012
['WO2015027089'],US11036302
['US2015070270'],US11036302
['US2015084860'],US11036302
['US2018067553'],US11036302
['US2015148641'],US11036302
['US2018321746'],US11036302
['WO2015027089'],US11036302
['US2015148641'],US11036302
['WO2015027089'],US11036302
['US2015070270'],US11036302
['US2015084860'],US11036302
['US2018067553'],US11036302
['US2015148641'],US11036302
['US2018321746'],US11036302
['WO2015027089'],US11036302
['US2015148641'],US11036302
['US2016058376'],US2020379611
['WO2016161152'],US2020379611
['EP3379853'],US2019158645
['US9313643'],US2017171804
['US2016241776'],WO2018117681
['US2016241776'],WO2018117681
['US2015058790'],WO2018117560
['EP2851001'],US10993657
['EP2851001'],US10993657
['IN201811043670'],US2021272692
['US2013262357'],US2021272692
['GB2568073'],US2021272692
['IN201811043670'],US2021272692
['US2013262357'],US2021272692
['GB2568073'],US2021272692
['US2011077969'],US2019244688
['US2011077973'],US2019244688
['WO2017171248'],US2020302583
['WO2020017936'],US2020302583
['WO2017171248'],US2020302583
['WO2020017936'],US2020302583
['US8077029'],US2018213271
['US9344436'],US2018035166
['US9344436'],US2018152761
['US2016148496'],US2017000427
['US2018049274'],WO2022025305
['US2011077969'],US2019244706
['US2011077973'],US2019244706
['CN106980608'],CN107808124
['US2019014187'],WO2022080880
['WO2019112201'],WO2022080880
['WO2016123047'],US2019190621
['US2015371073'],WO2018093053
['US2017164089'],US2019200113
['JP2017189379'],US2020305829
['CN202078297'],CN105516906
['US2013172691'],US2018035481
['US2013231574'],US2018035481
['WO2012170586'],US2018035481
['WO2012170924'],US2018035481
['WO2012171032'],US2018035481
['US2009318779'],US2017270481
['US2013172691'],US2016007934
['US2013231574'],US2016007934
['WO2012170586'],US2016007934
['WO2012170924'],US2016007934
['WO2012171032'],US2016007934
['EP2844007'],EP3089311
['WO2016036143'],WO2019107719
['US2015169335'],US2018160108
['US2015220299'],CN112835417
['US2015061862'],US2016275336
['EP2989973'],WO2018110996
['US2010096448'],US2019034908
['US2015070270'],US2015277575
['US8781849'],US2017039327
['US2020177714'],WO2022080990
['US2020265803'],WO2022080990
['EP3481048'],US2022159185
['EP3641294'],US2022159185
['EP3481048'],US2022159185
['EP3641294'],US2022159185
['US2013172691'],US2016285985
['US2013231574'],US2016285985
['WO2012170586'],US2016285985
['WO2012170924'],US2016285985
['WO2012171032'],US2016285985
['US2010185062'],US2015206413
['US2016077606'],US2018067755
['US9313643'],US2017171736
['CN109841278'],CN110349675
['US9720934'],US2017294040
['WO2015156640'],CN108682434
['US2015339861'],WO2017164671
['WO2016032022'],WO2017164671
['WO2014000090'],US2019057113
['US2011077969'],US2019244687
['US2011077973'],US2019244687
['WO2016161152'],US2019025995
['US2013077772'],US2016066164
['WO2014143950'],US2017193314
['WO2015108282'],WO2017086676
['WO2015108282'],WO2017086676
['EP3005946'],WO2017135769
['US2016104484'],US2018374481
['US2016104484'],US2018374481
['WO2018194267'],US2018374481
['US9858781'],US2018302222
['US2012131498'],US2018081520
['WO2017171248'],US2019182434
['US2012185268'],WO2017181090
['US2019131691'],CN112332077
['US8077029'],US2019342527
['WO2017164671'],WO2019164212
['US2015186179'],WO2020040596
['WO2019117644'],WO2022030860
['US2016104484'],EP3327719
['EP3267670'],WO2018043884
['US2013285836'],SE201551071
['US10354751'],US10726947
['EP3396618'],US2021227065
['US2019266775'],US2021227065
['EP3396618'],US2021227065
['US2019266775'],US2021227065
['US2011082710'],US11120898
['US2009227876'],US2019191670
['US2012095352'],US2019191670
['US2012095357'],US2019191670
['EP3125365'],US2018248251
['WO2010108287'],US2014172873
['JP2014230219'],JP2017171444
['IN201811043670'],US11107581
['US2013262357'],US11107581
['GB2568073'],US11107581
['IN201811043670'],US11107581
['US2013262357'],US11107581
['GB2568073'],US11107581
['WO2015126095'],US2017224273
['US2015018702'],US2017224273
['US2015297134'],US2017224273
['US2012095352'],US2016242665
['US2012095357'],US2016242665
['US2013072807'],US2016242665
['US2013172691'],US2016242665
['WO2010108287'],US2016242665
['WO2013066642'],US2016242665
['CN109833058'],CN112603359
['CN106264597'],CN107669292
['US2011072379'],US2017215987
['US2014067426'],US2017215987
['EP2698972'],US9338627
['CN204394483'],CN108742546
['US2017136264'],CN110840412
['CN103505188'],CN113288077
['WO2009094643'],US8960898
['US2011295102'],CN103070728
['WO2015189846'],FR3061585
['CN108053868'],CN110322634
['EP3764550'],CN113114300
['EP3764550'],CN113114300
['US2015065053'],CN109412624
['US2013285836'],US2019332834
['WO2014016726'],WO2017055958
['CN101702187'],CN103294915
['CN103116869'],CN103294915
['CN101732041'],CN103690285
['US2017149942'],WO2020050542
['US2018090821'],WO2022030928
['US2011205061'],US2016267236
['EP3121680'],CN107067981
['WO2020033726'],WO2022080419
['CN106137158'],US2018264242
['WO2015102464'],CN106388785
['WO2019107909'],CN112967597
['WO2019107909'],CN112991932
['CN206441282'],CN109596691
['WO2016138087'],EP3364183
['WO2018184570'],US2019347543
['WO2018184570'],US2019347543
['CN205030666'],CN106263424
['CN106691407'],CN111631689
['CN103294879'],CN106681222
['CN103385701'],CN108158566
['CN201830298'],CN108158566
['CN101561846'],CN101873352
['CN204091973'],CN104605840
['CN205068142'],CN107479427
['CN202408871'],CN103989525
['WO2018033160'],CN109194713
['CN103116869'],CN106156491
['CN104660717'],CN109559813
['CN104683474'],CN109559813
['CN104689475'],CN109559813
['CN204485073'],CN109559813
['CN111387596'],CN112914552
['CN204839545'],EP3485945
['CN105835069'],CN106618502
['US2014278535'],US10646746
['US2016224034'],CN111765852
['US2011295102'],CN106214139
['CN204169822'],CN106214139
['US2016144236'],CN106730602
['CN203524646'],CN104523283
['CN104166953'],CN104983424
['CN105872046'],CN107157503
['US2013197322'],US9838641
['EP2779598'],EP3007055
['EP2779598'],EP3007055
['CN201438724'],CN104469280
['WO2012122347'],JP2017194741
['CN203153118'],CN103908246
['WO2015100482'],CN106390447
['US10182336'],EP3943150
['US10182336'],EP3943150
['WO2016153429'],CN108955782
['EP3051625'],CN110708080
['CN103856561'],CN104997489
['CN205992918'],CN107705529
['US2018235471'],KR2046149
['WO2018148845'],US2022096197
['WO2009094643'],US2016246384
['US2016267310'],US2019392698
['CN204484117'],CN105105757
['WO2016201366'],GB2599737
['WO2018098046'],GB2599737
['WO2012061825'],WO2015200704
['WO2012110700'],CN104546452
['WO2015020886'],CN108201449
['CN201831884'],CN102217930
['WO2016167612'],US2018205675
['CN108734938'],CN113116318
['CN202795379'],CN113116318
['CN204091973'],CN113116318
['CN108734938'],CN113116318
['CN202795379'],CN113116318
['CN204091973'],CN113116318
['US2015193951'],US2017046052
['US2013172691'],US2017249115
['US2013231574'],US2017249115
['WO2012170586'],US2017249115
['WO2012170924'],US2017249115
['WO2012171032'],US2017249115
['WO2015100482'],CN106422323
['US2016058376'],CN108093087
['CN104224131'],CN107080527
['CN204169822'],CN107080527
['US2019110077'],CN111491152
['US2019110077'],CN111491152
['CN104615879'],CN109186900
['US2010053555'],US2013044130
['US2013311483'],US9734146
['US2013311483'],US10249385
['US2015070270'],US2014198035
['US2017195475'],US10274979
['WO2010038176'],WO2017013493
['WO2012113014'],WO2017013493
['WO2014025430'],WO2017013493
['CN102819656'],CN103559674
['US2010121227'],US2013203518
['CN102693619'],CN110648414
['CN108175420'],CN109856381
['CN206526052'],CN108742647
['CN203338412'],CN103294900
['WO2015072868'],CN109062349
['CN102184312'],CN105725970
['WO2019107909'],CN112509471
['CN207233395'],CN109388703
['US2015219608'],CN109238328
['US2018096187'],CN108683755
['CN102087759'],CN106682403
['CN103248681'],CN104182649
['US2017358847'],CN111567153
['US2018024546'],CN110262562
['CN103750860'],CN109218927
['US2019268455'],CN113079229
['US2015219608'],CN109238327
['WO2019093637'],CN112535482
['CN205964027'],CN109814368
['EP3736660'],CN112584637
['CN104173034'],CN106039566
['CN202960486'],CN103040461
['WO2017190049'],CN109044289
['CN102125426'],CN103315722
['US2017168524'],US2019121400
['EP2685710'],CN107976455
['CN103479362'],WO2016026100
['US2017281014'],CN106963373
['US2017014035'],US2018214088
['CN108269393'],CN113517898
['CN103500271'],CN107610769
['CN204496498'],CN107610769
['EP2698972'],WO2018064792
['US2010070249'],US2015379230
['WO2011073822'],CN103607394
['CN106073798'],CN108652646
['DE102015221372'],CN107807360
['US2015220299'],CN110807992
['CN110665206'],CN114224329
['CN101601584'],CN104586428
['CN202932930'],CN102670217
['WO2012170924'],WO2014194337
['US2011122995'],EP2659836
['US7912991'],US2015268873
['US8375151'],US2015268873
['WO2019044540'],WO2021095562
['WO2019044540'],WO2020246293
['WO2015100482'],CN106373452
['CN102008316'],CN109512456
['US2016345113'],KR2019104951
['US2020196046'],WO2022030957
['WO2015123252'],WO2017027819
['US2017196457'],CN111329471
['CN103294915'],CN104545928
['CN206339857'],CN107550738
['EP2801389'],WO2016179240
['WO2015048857'],CN110517720
['CN203169302'],CN104582007
['CN108113251'],CN112190018
['WO2018135509'],US2021054800
['CN206451296'],CN109255893
['CN205068378'],CN109769220
['US2015223892'],CN112978094
['CN111713949'],CN113306682
['CN101944162'],CN103577716
['CN102819655'],CN103577716
['WO2012053509'],CN103577716
['CN102054118'],CN103605762
['CN108898794'],CN109350780
['GB2504299'],EP3666174
['US2015219608'],WO2017183863
['WO2013156999'],WO2018235080
['WO2013156999'],WO2018235080
['WO2016183389'],WO2018235080
['WO2014201760'],CN109805927
['WO2017111564'],CN109411052
['EP3051625'],EP3291465
['WO2009094643'],US9948895
['CN107222974'],CN112275564
['US2013192071'],US2021042006
['US2012323501'],US2021042006
['US2013192071'],US2021042006
['CN101588405'],CN103257234
['US2018034148'],US2019052292
['US2018034148'],US2019052292
['US2010204586'],US2014303647
['US2012197092'],CN111449852
['WO2015016377'],EP3391811
['WO2010108018'],CN106039501
['WO2017022926'],CN110534024
['EP3547101'],EP3842895
['CN108320813'],CN109731314
['WO2019245165'],US11201631
['WO2009110702'],CN107440738
['WO2013027004'],WO2011042711
['CN204169813'],CN109431442
['CN101795296'],CN102499657
['CN203169302'],CN105024721
['US2016381289'],US2020137372
['CN107343054'],CN111122786
['CN205054260'],CN108670206
['CN202932930'],CN109924991
['CN108364455'],CN109730691
['CN206239798'],CN112967770
['CN201766617'],CN110095631
['CN201409913'],CN105852829
['CN107928636'],CN112190242
['US2011258157'],CN105828577
['CN203634146'],CN105520721
['WO2018184570'],CN109978160
['CN203059722'],CN105357853
['CN102393871'],CN103356166
['CN201830298'],CN103356166
['CN104840321'],CN105433962
['KR2011107013'],WO2018119318
['CN102370459'],CN105118263
['WO2012127945'],CN104038754
['CN202198590'],CN104337505
['CN110090004'],CN110367945
['CN201519339'],CN105457132
['WO2015184072'],US2019110778
['WO2016049019'],US2019110778
['WO2016138087'],US2019110778
['WO2014025430'],US2019110778
['JP2014000260'],WO2015141460
['CN204613942'],CN105796276
['CN104546193'],CN105287038
['US2019041912'],US2020026422
['EP3293607'],US2020026422
['CN104224131'],CN106781255
['WO2015020886'],CN108873760
['EP2966539'],CN111309162
['KR2018031364'],CN111813246
['WO2018131932'],WO2020197441
['EP3062270'],WO2018147597
['KR2016054896'],US2019259323
['US2016065840'],US2018324353
['US2015371073'],US2018324353
['US2015229849'],US2018324353
